Size of Training Set,Accuracy,Number of Internal Nodes
10,84.03,1.23
11,84.58,1.31
12,85.94,1.44
13,88.66,1.35
14,87.1,1.38
15,88.18,1.39
16,90.17,1.35
17,90.03,1.72
18,90.04,1.74
19,90.49,1.59
20,91.22,1.75
21,90.75,1.84
22,90.81,1.96
23,91.76,2.12
24,91.62,2.09
25,92.3,2.13
26,91.6,2.19
27,92.65,2.0
28,92.13,2.21
29,92.43,2.39
30,93.07,2.57
31,93.0,2.28
32,93.0,2.51
33,93.11,2.5
34,92.61,2.68
35,92.86,2.85
36,92.92,2.87
37,93.4,2.82
38,93.27,2.78
39,93.44,2.86
40,93.33,2.8
41,93.34,2.61
42,92.95,3.29
43,93.52,3.09
44,93.25,3.22
45,93.45,2.86
46,93.41,3.52
47,93.33,3.24
48,93.09,3.44
49,93.42,3.17
50,93.72,3.57
51,93.48,3.54
52,93.4,3.51
53,93.7,4.04
54,93.51,4.08
55,93.6,3.89
56,93.5,4.02
57,93.87,3.85
58,93.81,3.88
59,93.66,3.97
60,93.71,4.09
61,93.66,4.17
62,93.99,4.34
63,93.61,4.16
64,93.78,4.33
65,93.57,4.44
66,93.53,4.35
67,93.54,4.83
68,93.87,4.64
69,93.74,4.26
70,93.88,4.49
71,94.09,4.65
72,93.89,4.33
73,93.98,4.66
74,93.86,4.59
75,93.51,5.13
76,93.85,4.77
77,93.04,5.12
78,93.98,5.39
79,93.74,5.08
80,93.77,5.1
81,93.87,4.96
82,94.0,4.83
83,93.22,5.2
84,93.58,5.21
85,92.75,4.94
86,93.36,5.21
87,94.05,5.11
88,93.66,4.99
89,91.56,5.21
90,90.08,5.12
91,91.65,5.07
92,91.82,5.22
93,89.03,5.13
94,90.71,5.1
95,90.05,4.77
96,91.92,5.18
97,87.94,5.11
98,88.61,4.88
99,90.97,4.97
100,90.32,5.23
101,88.46,4.96
102,89.66,5.1
103,87.53,4.76
104,87.49,4.71
105,89.18,5.0
106,85.79,5.05
107,88.13,5.12
108,87.33,4.92
109,85.13,4.97
110,88.64,5.02
111,88.77,5.59
112,89.8,4.87
113,91.32,5.4
114,86.93,5.25
115,88.69,5.52
116,87.37,5.39
117,89.5,5.47
118,90.44,5.83
119,92.24,5.86
120,91.08,5.81
121,89.99,5.5
122,90.33,5.6
123,91.07,5.77
124,90.55,5.88
125,92.46,6.09
126,92.26,6.08
127,87.34,5.62
128,91.63,5.73
129,92.81,6.31
130,90.36,5.82
131,91.76,6.19
132,93.99,6.64
133,90.96,5.97
134,92.81,6.24
135,92.79,6.37
136,93.34,6.46
137,93.35,6.56
138,92.73,6.4
139,92.85,6.07
140,93.88,6.47
141,93.94,6.6
142,93.37,6.52
143,94.6,6.96
144,89.86,6.44
145,93.56,6.74
146,92.8,6.77
147,94.59,6.84
148,94.05,7.02
149,93.48,7.0
150,94.04,6.85
151,89.74,6.55
152,93.96,7.12
153,92.59,6.59
154,93.86,7.18
155,92.75,6.74
156,93.88,7.13
157,93.3,6.66
158,94.55,7.26
159,93.76,7.25
160,93.95,7.41
161,94.47,7.54
162,92.7,7.16
163,93.43,7.53
164,91.62,7.28
165,94.54,7.52
166,94.48,6.92
167,94.57,7.87
168,93.99,7.38
169,93.88,7.31
170,93.21,7.54
171,94.66,8.01
172,94.52,8.01
173,94.47,7.81
174,94.67,7.89
175,94.77,8.1
176,94.61,8.06
177,93.95,7.93
178,94.4,8.35
179,94.42,8.08
180,94.55,8.29
181,94.09,8.3
182,94.64,8.46
183,93.85,8.2
184,94.5,8.31
185,94.52,8.59
186,94.38,8.85
187,94.56,8.44
188,94.62,8.79
189,94.41,8.65
190,94.49,8.57
191,94.55,8.63
192,93.67,8.56
193,93.89,8.92
194,94.48,8.7
195,94.51,8.65
196,93.79,8.58
197,94.35,9.28
198,93.28,8.67
199,93.84,9.26
200,94.55,8.62
