Size of Training Set,Accuracy,Number of Internal Nodes
10,85.45,1.26
11,83.72,1.37
12,87.41,1.32
13,87.34,1.44
14,87.74,1.28
15,88.91,1.43
16,88.55,1.71
17,88.43,1.75
18,89.7,1.59
19,91.0,1.66
20,90.8,1.89
21,91.37,2.04
22,91.59,1.75
23,91.42,1.97
24,91.74,1.97
25,93.04,2.03
26,92.19,2.04
27,92.31,2.42
28,92.47,2.3
29,92.46,2.42
30,92.91,2.25
31,92.26,2.53
32,93.13,2.55
33,92.67,2.66
34,93.0,2.69
35,93.31,2.43
36,92.58,2.73
37,93.16,2.75
38,93.52,2.79
39,92.81,3.06
40,93.25,3.02
41,93.34,3.0
42,93.54,3.33
43,93.53,2.98
44,93.78,3.21
45,93.99,3.25
46,93.68,3.09
47,93.29,3.19
48,93.03,3.34
49,93.59,3.48
50,93.33,3.73
51,93.75,3.6
52,93.83,3.61
53,93.51,3.94
54,93.72,3.62
55,93.47,3.71
56,93.93,3.76
57,93.68,3.83
58,93.49,3.89
59,93.61,3.78
60,93.53,3.85
61,93.69,3.92
62,93.86,4.11
63,93.82,4.18
64,93.64,4.35
65,93.6,4.13
66,93.73,4.22
67,93.79,4.26
68,93.82,4.24
69,93.87,4.5
70,93.75,4.56
71,94.01,4.45
72,93.62,4.76
73,93.94,4.58
74,93.85,4.84
75,93.75,4.76
76,94.06,5.04
77,93.78,4.97
78,93.87,4.92
79,93.88,4.94
80,93.75,5.08
81,93.86,4.91
82,93.88,5.34
83,94.09,5.52
84,93.67,5.46
85,93.82,5.53
86,93.97,5.94
87,93.84,5.42
88,93.8,5.77
89,93.97,5.45
90,93.68,6.03
91,94.02,5.93
92,93.7,5.58
93,93.99,6.0
94,93.58,5.96
95,93.7,5.96
96,93.61,6.38
97,94.02,6.06
98,94.04,6.15
99,93.91,5.88
100,94.01,6.46
101,93.64,6.48
102,93.89,6.18
103,93.88,6.08
104,94.16,6.42
105,93.97,6.44
106,93.82,6.55
107,93.48,6.54
108,93.75,6.24
109,93.7,6.84
110,93.87,6.96
111,93.78,6.68
112,93.8,6.95
113,94.0,6.83
114,93.87,7.06
115,93.92,6.85
116,93.77,6.83
117,93.95,7.47
118,93.94,7.25
119,94.12,7.23
120,93.7,7.62
121,93.91,7.3
122,93.95,7.51
123,94.01,7.58
124,94.14,7.48
125,93.97,7.52
126,94.0,7.41
127,93.8,7.72
128,93.75,7.55
129,94.07,7.66
130,94.08,8.0
131,93.93,7.83
132,94.02,8.12
133,94.07,8.1
134,93.96,8.07
135,94.02,8.21
136,94.02,8.15
137,94.09,8.26
138,94.16,8.18
139,94.0,8.51
140,93.84,7.67
141,94.09,8.68
142,94.0,8.37
143,93.87,8.27
144,93.91,8.24
145,93.97,8.73
146,93.91,8.44
147,94.01,8.69
148,93.93,8.73
149,93.76,9.02
150,94.01,8.58
151,94.17,9.06
152,93.95,9.01
153,93.92,9.53
154,93.92,9.2
155,94.08,9.18
156,93.97,9.15
157,94.0,9.02
158,94.01,9.25
159,94.12,9.6
160,94.04,9.52
161,94.1,9.71
162,93.85,9.82
163,94.01,9.65
164,93.92,9.6
165,93.79,9.52
166,94.01,9.59
167,94.03,9.63
168,93.97,9.73
169,94.0,10.09
170,93.83,9.74
171,93.98,10.15
172,94.0,9.89
173,93.97,10.37
174,94.03,10.24
175,94.09,10.56
176,93.8,10.08
177,94.1,10.42
178,93.97,10.37
179,93.97,10.52
180,94.12,10.56
181,94.1,10.91
182,94.02,10.71
183,94.06,10.49
184,94.16,10.95
185,93.96,11.16
186,93.86,11.2
187,94.15,10.83
188,93.97,10.89
189,94.03,11.14
190,94.05,11.27
191,94.0,11.2
192,94.0,11.6
193,93.95,11.33
194,93.97,11.78
195,93.91,11.53
196,93.96,11.44
197,93.98,11.39
198,94.01,12.27
199,93.62,11.38
200,93.96,11.91
