Nodes,Goals,Nodes Created,Time
4,10,11,0.00038
8,110,119,0.00366
12,241,272,0.00891
16,63,125,0.00567
20,250,349,0.01771
24,59,214,0.0136
28,829,1045,0.08004
32,335,613,0.05911
36,1386,1744,0.19244
40,314,771,0.09682
44,1937,2494,0.37152
48,7864,8534,1.45601
52,2492,3292,0.69469
56,278,1191,0.26369
60,984,2041,0.43141
64,1271,2493,0.64103
68,2960,4343,1.30193
72,246,1817,0.62053
76,1501,3252,1.16873
80,2625,4564,1.7906
84,77444,79631,28.65816
88,96,2469,1.21241
92,227053,229668,94.06399
96,123,3003,1.6958
100,6443,9524,5.0344
