Nodes,Goals,Nodes Created,Time
4,12,14,0.00039
6,19,26,0.00068
8,52,65,0.00218
10,153,176,0.00492
12,23,67,0.00178
14,75,132,0.00374
16,8086,8152,0.27468
18,25,132,0.00607
20,136,264,0.01187
22,79,229,0.01047
24,1897,2073,0.09254
26,496,714,0.03568
28,2067,2308,0.1226
30,1667,1950,0.11252
32,204,538,0.03916
34,39543,39919,2.23751
36,802,1224,0.09298
38,15780,16240,1.01298
40,50519,51045,3.25707
42,38731,39310,2.91143
44,1515,2149,0.18661
46,136,826,0.10192
48,270,1046,0.13214
50,3572,4403,0.43827
